timestamp,session_id,user_id,country,platform,content_title,views,watch_time_minutes,revenue,buffering_ratio,startup_time_ms,bitrate_kbps,error_code
2026-01-01 00:00:00,s0,u1429,Tunisia,Web,Series B,1,72,0.74,0.48,8656,5439,
2026-01-01 00:01:00,s1,u2197,Morocco,Smart TV,Movie C,1,55,1.35,0.17,5647,3323,STARTUP_TIMEOUT
2026-01-01 00:02:00,s2,u1004,Morocco,iOS,Kids Show,1,42,0.15,0.17,9016,563,CDN_ERROR
2026-01-01 00:03:00,s3,u1383,Senegal,Android TV,Sport Live,1,25,1.06,0.46,5194,2255,
2026-01-01 00:04:00,s4,u460,Morocco,iOS,Documentary D,1,64,0.74,0.24,6858,2841,
2026-01-01 00:05:00,s5,u2238,Senegal,Smart TV,Documentary D,1,82,0.16,0.52,1001,721,AUTH_ERROR
2026-01-01 00:06:00,s6,u1021,Morocco,iOS,Sport Live,1,34,0.55,0.48,9639,1557,
2026-01-01 00:07:00,s7,u2413,Tunisia,Smart TV,Kids Show,1,56,0.33,0.25,2884,961,STARTUP_TIMEOUT
2026-01-01 00:08:00,s8,u461,Tunisia,STB,Movie C,1,85,0.68,0.54,3002,937,
2026-01-01 00:09:00,s9,u1567,Morocco,STB,Documentary D,1,88,1.49,0.15,2061,4440,CDN_ERROR
2026-01-01 00:10:00,s10,u530,Tunisia,STB,Movie C,1,65,1.34,0.16,11985,794,CDN_ERROR
2026-01-01 00:11:00,s11,u1024,Cameroon,Android TV,Series B,1,10,0.07,0.2,6977,1335,
2026-01-01 00:12:00,s12,u743,Senegal,iOS,Series A,1,87,0.77,0.39,2484,3201,BUFFERING_ERROR
2026-01-01 00:13:00,s13,u273,Morocco,Web,Movie C,1,68,0.25,0.14,11669,2166,
2026-01-01 00:14:00,s14,u770,Cameroon,Android TV,Sport Live,1,7,0.27,0.03,7371,3268,CDN_ERROR
2026-01-01 00:15:00,s15,u2363,Ivory Coast,Web,Documentary D,1,63,0.29,0.24,7354,5353,AUTH_ERROR
2026-01-01 00:16:00,s16,u1229,Morocco,Web,Movie C,1,69,1.13,0.05,8648,678,
2026-01-01 00:17:00,s17,u2049,Senegal,Web,Sport Live,1,36,0.09,0.04,9984,1912,
2026-01-01 00:18:00,s18,u1172,Senegal,Smart TV,Documentary D,1,36,0.38,0.33,6196,1896,
2026-01-01 00:19:00,s19,u1324,Senegal,Mobile,Series A,1,59,0.91,0.43,2338,4651,
2026-01-01 00:20:00,s20,u178,France,Smart TV,Movie C,1,66,0.88,0.37,9857,1644,BUFFERING_ERROR
2026-01-01 00:21:00,s21,u293,Tunisia,Smart TV,Movie C,1,23,1.33,0.01,4011,5443,AUTH_ERROR
2026-01-01 00:22:00,s22,u88,Senegal,Mobile,Series B,1,39,0.29,0.14,5811,4827,CDN_ERROR
2026-01-01 00:23:00,s23,u1299,Senegal,STB,Sport Live,1,2,1.07,0.53,9599,3362,LOW_BITRATE
2026-01-01 00:24:00,s24,u1231,Senegal,Smart TV,Series A,1,85,0.76,0.45,4946,1999,AUTH_ERROR
2026-01-01 00:25:00,s25,u617,Ivory Coast,Web,Series B,1,69,0.11,0.13,2316,4920,
2026-01-01 00:26:00,s26,u1289,Morocco,iOS,Sport Live,1,14,0.35,0.37,641,2506,LOW_BITRATE
2026-01-01 00:27:00,s27,u847,Morocco,Smart TV,Series B,1,15,1.29,0.44,1407,481,AUTH_ERROR
2026-01-01 00:28:00,s28,u2088,France,Android TV,Documentary D,1,62,1.25,0.25,1092,5095,AUTH_ERROR
2026-01-01 00:29:00,s29,u1404,Ivory Coast,iOS,Series B,1,41,0.17,0.16,6213,5641,BUFFERING_ERROR
2026-01-01 00:30:00,s30,u2168,France,Web,Documentary D,1,48,0.97,0.04,7718,4308,AUTH_ERROR
2026-01-01 00:31:00,s31,u1557,Tunisia,iOS,Movie C,1,49,0.15,0.41,7831,4972,
2026-01-01 00:32:00,s32,u2247,France,Android TV,Series A,1,13,1.1,0.19,11464,2099,
2026-01-01 00:33:00,s33,u1892,Senegal,Android TV,Documentary D,1,3,1.35,0.49,11444,2588,BUFFERING_ERROR
2026-01-01 00:34:00,s34,u1648,Cameroon,iOS,Series B,1,63,0.88,0.27,6091,2268,
2026-01-01 00:35:00,s35,u552,Tunisia,iOS,Sport Live,1,35,0.1,0.38,6291,4535,CDN_ERROR
2026-01-01 00:36:00,s36,u1061,Cameroon,Mobile,Movie C,1,46,0.76,0.44,3317,4786,AUTH_ERROR
2026-01-01 00:37:00,s37,u605,Tunisia,Android TV,Movie C,1,15,0.6,0.24,5338,1856,AUTH_ERROR
2026-01-01 00:38:00,s38,u795,Tunisia,Mobile,Movie C,1,38,0.62,0.37,3107,2381,
2026-01-01 00:39:00,s39,u184,Senegal,Web,Series A,1,81,0.47,0.44,5504,3505,BUFFERING_ERROR
2026-01-01 00:40:00,s40,u1359,Tunisia,iOS,Kids Show,1,38,1.28,0.29,7533,5091,BUFFERING_ERROR
2026-01-01 00:41:00,s41,u1488,Cameroon,Mobile,Movie C,1,85,0.57,0.23,2996,2708,
2026-01-01 00:42:00,s42,u1991,Cameroon,iOS,Series A,1,10,1.35,0.3,1534,5428,BUFFERING_ERROR
2026-01-01 00:43:00,s43,u776,Senegal,Web,Series B,1,86,0.12,0.51,2587,4912,
2026-01-01 00:44:00,s44,u457,Cameroon,Android TV,Series A,1,1,0.44,0.04,9160,3172,
2026-01-01 00:45:00,s45,u1089,Morocco,Smart TV,Movie C,1,4,0.72,0.3,4687,671,
2026-01-01 00:46:00,s46,u2479,Tunisia,Mobile,Series A,1,88,1.19,0.27,4414,2627,STARTUP_TIMEOUT
2026-01-01 00:47:00,s47,u2289,Morocco,Android TV,Series A,1,12,1.44,0.33,5894,2507,
2026-01-01 00:48:00,s48,u2149,Morocco,iOS,Sport Live,1,14,1.4,0.41,8160,2760,
2026-01-01 00:49:00,s49,u2211,Ivory Coast,STB,Series B,1,8,1.13,0.23,3015,3954,
2026-01-01 00:50:00,s50,u874,Ivory Coast,iOS,Series B,1,77,1.03,0.04,11873,1895,AUTH_ERROR
2026-01-01 00:51:00,s51,u785,Cameroon,iOS,Documentary D,1,47,0.7,0.12,4405,5071,
2026-01-01 00:52:00,s52,u2250,Tunisia,STB,Sport Live,1,90,0.9,0.14,6415,3543,LOW_BITRATE
2026-01-01 00:53:00,s53,u2169,Tunisia,Mobile,Movie C,1,17,0.28,0.48,7687,579,CDN_ERROR
2026-01-01 00:54:00,s54,u1213,Cameroon,Web,Series A,1,42,0.79,0.26,1964,3210,AUTH_ERROR
2026-01-01 00:55:00,s55,u1505,Ivory Coast,iOS,Series B,1,69,0.19,0.28,7248,3114,
2026-01-01 00:56:00,s56,u2290,France,Smart TV,Series B,1,26,0.99,0.07,2833,4114,STARTUP_TIMEOUT
2026-01-01 00:57:00,s57,u158,Cameroon,Android TV,Documentary D,1,86,0.05,0.01,8628,1226,
2026-01-01 00:58:00,s58,u428,Tunisia,iOS,Documentary D,1,90,0.43,0.25,3340,4523,STARTUP_TIMEOUT
2026-01-01 00:59:00,s59,u2120,Senegal,STB,Series A,1,33,0.26,0.17,11490,3080,BUFFERING_ERROR
2026-01-01 01:00:00,s60,u1676,Senegal,Web,Series B,1,5,1.44,0.45,11162,2082,BUFFERING_ERROR
2026-01-01 01:01:00,s61,u129,Morocco,iOS,Series A,1,68,1.0,0.21,10509,3862,LOW_BITRATE
2026-01-01 01:02:00,s62,u1725,Senegal,Android TV,Movie C,1,3,0.66,0.02,10746,3189,AUTH_ERROR
2026-01-01 01:03:00,s63,u116,Ivory Coast,iOS,Kids Show,1,58,0.13,0.48,4493,3149,STARTUP_TIMEOUT
2026-01-01 01:04:00,s64,u724,Senegal,Mobile,Sport Live,1,19,0.42,0.02,11637,418,BUFFERING_ERROR
2026-01-01 01:05:00,s65,u1376,Ivory Coast,Smart TV,Sport Live,1,88,0.59,0.25,10297,716,LOW_BITRATE
2026-01-01 01:06:00,s66,u1654,Tunisia,Web,Series A,1,75,1.12,0.04,7828,2048,LOW_BITRATE
2026-01-01 01:07:00,s67,u1721,Morocco,Android TV,Series B,1,16,1.45,0.44,3169,5788,BUFFERING_ERROR
2026-01-01 01:08:00,s68,u1429,Cameroon,iOS,Kids Show,1,11,1.04,0.05,10077,2263,LOW_BITRATE
2026-01-01 01:09:00,s69,u716,Ivory Coast,Mobile,Series B,1,9,0.88,0.04,7663,5875,
2026-01-01 01:10:00,s70,u565,France,Mobile,Series A,1,89,0.92,0.36,4536,3997,BUFFERING_ERROR
2026-01-01 01:11:00,s71,u2349,Ivory Coast,Web,Documentary D,1,64,0.12,0.49,10866,3151,BUFFERING_ERROR
2026-01-01 01:12:00,s72,u1930,Senegal,Smart TV,Documentary D,1,74,1.12,0.42,6696,3375,AUTH_ERROR
2026-01-01 01:13:00,s73,u1312,Cameroon,Android TV,Series B,1,81,0.36,0.49,7493,2842,LOW_BITRATE
2026-01-01 01:14:00,s74,u2420,Morocco,Mobile,Series A,1,52,0.16,0.12,6138,4491,
2026-01-01 01:15:00,s75,u1052,Cameroon,Android TV,Series A,1,86,0.26,0.14,10359,3985,LOW_BITRATE
2026-01-01 01:16:00,s76,u2280,Ivory Coast,Smart TV,Sport Live,1,4,0.64,0.43,10250,3931,LOW_BITRATE
2026-01-01 01:17:00,s77,u585,Cameroon,Android TV,Series A,1,45,0.25,0.29,4487,4731,CDN_ERROR
2026-01-01 01:18:00,s78,u1343,Cameroon,STB,Series B,1,9,0.74,0.52,9838,4831,AUTH_ERROR
2026-01-01 01:19:00,s79,u1044,Ivory Coast,Android TV,Kids Show,1,85,0.44,0.5,8112,3438,
2026-01-01 01:20:00,s80,u2260,Morocco,Web,Series A,1,69,1.37,0.16,3879,2886,
2026-01-01 01:21:00,s81,u1750,France,Smart TV,Kids Show,1,77,0.99,0.29,7590,1111,CDN_ERROR
2026-01-01 01:22:00,s82,u1119,Ivory Coast,Mobile,Kids Show,1,89,1.37,0.21,4357,5119,BUFFERING_ERROR
2026-01-01 01:23:00,s83,u2192,Tunisia,Web,Series A,1,50,0.57,0.43,3872,1328,
2026-01-01 01:24:00,s84,u212,Morocco,iOS,Kids Show,1,1,0.67,0.25,6743,5943,LOW_BITRATE
2026-01-01 01:25:00,s85,u920,Cameroon,iOS,Sport Live,1,8,1.31,0.52,2698,3953,CDN_ERROR
2026-01-01 01:26:00,s86,u300,Senegal,STB,Kids Show,1,35,0.64,0.03,1727,3167,
2026-01-01 01:27:00,s87,u18,Morocco,Mobile,Series A,1,21,0.87,0.48,6214,2477,
2026-01-01 01:28:00,s88,u1886,Tunisia,Web,Series A,1,42,1.07,0.44,11640,2307,
2026-01-01 01:29:00,s89,u27,France,Smart TV,Series A,1,28,0.03,0.22,11115,2621,
2026-01-01 01:30:00,s90,u724,Cameroon,Android TV,Documentary D,1,34,1.35,0.53,11345,5179,
2026-01-01 01:31:00,s91,u1238,Morocco,Mobile,Movie C,1,16,1.29,0.29,906,4346,CDN_ERROR
2026-01-01 01:32:00,s92,u1252,Cameroon,STB,Series A,1,40,0.59,0.31,8337,2928,STARTUP_TIMEOUT
2026-01-01 01:33:00,s93,u897,Ivory Coast,STB,Series B,1,29,0.34,0.53,10305,3181,
2026-01-01 01:34:00,s94,u1223,Senegal,STB,Series A,1,38,0.18,0.23,10616,5507,LOW_BITRATE
2026-01-01 01:35:00,s95,u1682,Cameroon,Mobile,Series B,1,46,0.03,0.13,3930,1443,STARTUP_TIMEOUT
2026-01-01 01:36:00,s96,u264,Cameroon,Mobile,Series A,1,18,0.46,0.45,3025,5632,
2026-01-01 01:37:00,s97,u2113,France,Android TV,Series B,1,3,0.95,0.44,10877,4692,CDN_ERROR
2026-01-01 01:38:00,s98,u1635,Ivory Coast,Web,Kids Show,1,74,0.56,0.3,10164,4997,
2026-01-01 01:39:00,s99,u450,Morocco,Smart TV,Kids Show,1,14,0.91,0.24,4345,1390,AUTH_ERROR
