timestamp,latency,bitrate,status
0,695,1169,200
1,892,3705,200
2,896,3408,200
3,580,2025,200
4,887,4517,500
5,388,3995,500
6,475,2570,200
7,600,1030,200
8,631,1657,200
9,661,3695,200
10,427,3175,200
11,932,3182,200
12,270,2833,200
13,736,1534,200
14,549,4801,200
15,313,1367,200
16,223,1604,500
17,950,3256,500
18,964,4000,200
19,578,4902,200
20,645,1377,200
21,296,4684,200
22,849,4566,200
23,517,2402,200
24,364,2518,500
25,883,3594,200
26,432,1631,200
27,518,3182,500
28,451,2450,200
29,130,1296,200
30,515,3486,500
31,629,3673,200
32,806,3193,200
33,680,3159,200
34,796,4174,200
35,531,4707,500
36,592,2605,200
37,578,1079,500
38,257,2740,200
39,328,2102,500
40,620,3761,500
41,480,2708,200
42,195,4372,200
43,702,4564,200
44,830,1436,200
45,383,1061,500
46,906,4047,500
47,614,1615,200
48,967,4351,200
49,95,1085,200
50,580,4695,200
51,176,1000,200
52,582,3376,500
53,569,4281,200
54,393,2302,500
55,199,1920,200
56,733,2693,200
57,757,2620,500
58,283,1762,200
59,651,3147,200
60,846,3762,200
61,661,1384,500
62,667,4890,500
63,216,1811,200
64,989,4205,200
65,720,3413,500
66,782,1748,200
67,194,2422,200
68,94,2237,200
69,650,1360,500
70,688,4079,200
71,822,2825,200
72,495,4024,200
73,498,1846,200
74,705,4587,200
75,595,3068,200
76,897,4751,200
77,639,1782,500
78,588,2421,200
79,247,1440,200
80,829,2421,200
81,343,4279,200
82,143,2480,500
83,977,3546,200
84,233,1232,200
85,413,2915,200
86,65,2703,500
87,664,2249,200
88,893,4042,200
89,993,1567,200
90,890,1701,200
91,796,3801,200
92,115,1533,500
93,93,3529,200
94,198,1772,200
95,602,3235,200
96,557,4070,200
97,526,2157,200
98,942,4551,200
99,469,3853,200
100,158,3768,200
101,321,3985,200
102,735,4461,200
103,205,3384,200
104,226,2205,200
105,937,3467,200
106,756,4536,200
107,902,2227,200
108,186,3069,500
109,608,1939,200
110,354,4095,500
111,550,4832,500
112,636,4146,200
113,897,4014,500
114,533,4933,200
115,400,3503,500
116,138,3288,500
117,850,4531,200
118,654,4703,200
119,745,2084,200
120,177,2424,200
121,667,1672,200
122,775,2909,200
123,983,4154,200
124,341,3776,200
125,466,1404,500
126,165,1042,200
127,545,4636,200
128,117,1693,200
129,134,1524,500
130,751,3704,200
131,246,3005,200
132,491,2931,500
133,525,4617,500
134,925,2043,200
135,206,1830,200
136,58,2683,500
137,526,4452,500
138,176,1986,200
139,963,4782,500
140,686,1496,500
141,981,1737,500
142,749,3951,200
143,150,2205,200
144,112,2785,200
145,521,1222,200
146,602,1801,200
147,122,4985,200
148,336,4175,500
149,578,1763,500
150,212,2075,200
151,194,2928,200
152,268,2280,200
153,568,2805,500
154,100,2661,200
155,151,2657,200
156,474,3457,200
157,314,4141,200
158,833,4343,200
159,901,4661,500
160,828,2796,500
161,622,2296,500
162,541,4207,200
163,653,3369,200
164,396,2024,200
165,232,2793,200
166,204,2648,200
167,281,3737,200
168,641,1779,200
169,309,2424,500
170,416,3400,200
171,222,3267,200
172,972,1542,500
173,758,3177,500
174,323,2087,500
175,921,3087,500
176,169,4935,200
177,526,4209,200
178,406,4689,200
179,945,1821,200
180,794,2167,500
181,790,3229,200
182,279,1791,500
183,488,1251,200
184,442,3436,200
185,657,1924,200
186,306,2510,200
187,301,1591,200
188,390,1444,200
189,781,3649,200
190,770,1089,200
191,927,2232,200
192,155,2073,200
193,717,4835,200
194,661,4799,200
195,693,1383,200
196,238,1952,200
197,220,2516,200
198,938,4069,200
199,374,3292,500
200,451,4575,500
201,406,3875,200
202,457,2519,200
203,778,2479,200
204,721,4216,200
205,63,2759,200
206,871,4050,200
207,938,2493,200
208,766,3210,200
209,389,1182,500
210,448,1280,200
211,637,4266,200
212,617,2896,500
213,271,2006,200
214,643,4770,200
215,146,2128,200
216,981,3858,200
217,236,2909,200
218,931,1658,500
219,363,1343,200
220,547,1676,200
221,414,3268,200
222,465,2450,200
223,612,1168,200
224,916,2711,500
225,244,3803,200
226,818,3453,200
227,52,4405,200
228,860,1143,200
229,869,1893,200
230,53,4930,200
231,914,2492,200
232,636,3739,200
233,710,4511,500
234,526,3470,200
235,469,3436,200
236,577,2899,500
237,298,1530,200
238,824,1018,200
239,668,1951,200
240,385,4617,500
241,57,2974,200
242,814,4632,500
243,732,3548,200
244,914,2727,200
245,647,1845,500
246,801,4456,200
247,373,2703,200
248,242,1653,200
249,167,4405,200
250,499,4004,500
251,475,1998,500
252,936,1564,200
253,918,4280,200
254,531,4932,200
255,718,3667,200
256,307,2182,200
257,54,2780,200
258,969,1232,200
259,217,1420,200
260,67,2849,200
261,412,1092,500
262,483,2690,200
263,910,2886,200
264,65,4144,200
265,731,4472,200
266,111,3436,500
267,154,1679,200
268,649,2488,200
269,387,1028,500
270,168,2664,200
271,600,4106,200
272,70,1241,200
273,669,4768,200
274,515,3281,200
275,731,3842,200
276,754,3017,200
277,95,4675,200
278,924,3341,200
279,588,1603,500
280,767,2133,500
281,891,1781,500
282,125,2934,200
283,316,3619,200
284,65,4576,200
285,191,1019,200
286,731,3266,200
287,983,4522,200
288,169,3213,200
289,816,2132,200
290,619,1416,200
291,280,1587,200
292,165,1202,200
293,799,4918,200
294,345,1884,200
295,974,4106,200
296,377,4281,200
297,268,1765,200
298,789,4840,500
299,511,3508,200
300,200,2749,200
301,59,2886,200
302,316,4175,200
303,981,2061,200
304,253,3472,500
305,859,2725,500
306,203,4464,200
307,341,1864,500
308,325,1761,200
309,344,4903,200
310,73,3632,200
311,662,4841,200
312,565,1920,500
313,373,4748,200
314,301,3810,200
315,194,3838,200
316,237,2880,500
317,994,1610,200
318,766,4211,200
319,393,4230,200
320,253,2690,200
321,233,1243,200
322,706,1450,200
323,63,3739,500
324,396,3135,500
325,607,3250,200
326,776,2134,200
327,935,1828,200
328,132,4211,200
329,748,4067,200
330,588,1316,200
331,511,1957,200
332,733,4559,200
333,920,2388,200
334,531,1845,200
335,386,4298,200
336,151,3354,200
337,556,4276,200
338,464,2981,500
339,504,3624,200
340,476,1174,200
341,973,4529,200
342,262,4886,200
343,212,1616,200
344,339,1092,200
345,435,2549,200
346,258,1586,200
347,369,1804,500
348,327,1318,200
349,839,4280,500
350,129,1378,200
351,392,1577,500
352,986,1422,200
353,511,4576,500
354,378,3922,200
355,386,1479,200
356,918,3307,500
357,784,4695,200
358,191,1764,200
359,753,2691,200
360,753,3532,200
361,690,4407,200
362,88,4843,200
363,156,3070,200
364,599,1235,200
365,852,2415,200
366,414,1362,200
367,918,4789,200
368,497,1439,500
369,87,3293,200
370,258,4510,200
371,638,1986,500
372,370,2591,200
373,424,1271,500
374,181,2304,500
375,337,1136,200
376,418,2208,500
377,799,3804,200
378,786,1108,200
379,397,1158,200
380,522,4496,200
381,170,1257,200
382,788,4430,500
383,533,3311,500
384,794,4521,500
385,491,3499,200
386,140,4152,500
387,124,4358,200
388,950,2022,200
389,996,3643,200
390,670,1023,200
391,405,4643,200
392,557,1296,200
393,73,4988,200
394,430,3057,500
395,245,4952,200
396,941,3310,200
397,196,1936,200
398,341,1751,200
399,664,2396,200
400,256,2863,200
401,708,2797,200
402,393,2262,200
403,745,4191,200
404,928,2294,200
405,247,2212,500
406,701,4920,500
407,126,3816,200
408,688,4855,200
409,796,2777,200
410,503,3531,200
411,78,4941,500
412,550,1292,500
413,236,3447,500
414,327,1882,500
415,868,3762,200
416,552,2230,200
417,54,2222,200
418,440,4002,500
419,505,2834,200
420,631,4414,200
421,702,3156,200
422,881,1054,200
423,347,3605,500
424,363,2566,200
425,455,4481,500
426,929,3550,200
427,724,1788,200
428,649,1755,500
429,696,3952,200
430,920,4302,200
431,595,3988,500
432,58,2847,500
433,445,4813,200
434,689,4124,200
435,600,2350,200
436,403,1321,200
437,119,4347,200
438,175,2096,200
439,362,3621,200
440,944,2503,500
441,279,4911,200
442,617,2333,500
443,557,1015,500
444,419,2489,500
445,284,1138,500
446,790,4328,200
447,54,3057,200
448,108,4393,500
449,125,3215,200
450,300,2467,200
451,389,4410,200
452,341,4223,200
453,920,3911,200
454,916,3088,200
455,247,3211,200
456,706,1720,200
457,710,2406,200
458,603,2439,200
459,157,1439,200
460,373,2080,200
461,394,2982,200
462,718,1798,200
463,325,3944,200
464,887,2776,200
465,657,4825,500
466,156,4160,500
467,223,4481,200
468,236,2830,200
469,553,3138,200
470,593,3674,500
471,917,1260,200
472,647,1802,200
473,576,4764,500
474,963,1903,200
475,91,2350,500
476,468,2611,200
477,711,3695,200
478,380,2959,200
479,289,4895,200
480,595,4882,200
481,442,1244,500
482,560,1441,200
483,610,2636,200
484,353,4654,200
485,218,1586,200
486,423,4949,500
487,86,3231,500
488,480,1336,200
489,128,1079,500
490,131,3834,500
491,859,4581,200
492,482,2406,500
493,972,3590,200
494,647,1382,200
495,911,4473,200
496,870,2646,200
497,200,4505,200
498,256,2826,200
499,771,2553,200
500,124,4229,200
501,641,1073,200
502,846,4457,500
503,605,1682,500
504,223,4141,200
505,748,3336,200
506,470,2221,500
507,682,3691,200
508,479,3465,200
509,965,2504,200
510,633,4563,200
511,590,3244,200
512,220,4520,200
513,678,1491,200
514,71,4821,500
515,825,2055,500
516,404,4641,200
517,179,2716,200
518,130,1308,200
519,766,4804,200
520,130,3721,200
521,564,1052,200
522,531,1825,200
523,826,2398,200
524,736,2934,200
525,332,2684,200
526,797,4817,200
527,977,3210,200
528,151,2821,200
529,872,2884,200
530,831,3311,200
531,242,1719,200
532,918,4202,200
533,259,3797,200
534,137,1903,200
535,277,1763,500
536,432,1432,200
537,779,3284,200
538,779,1198,200
539,222,1156,500
540,492,1516,200
541,550,1374,200
542,880,4238,200
543,61,4923,200
544,555,2772,200
545,203,1357,200
546,627,3044,200
547,991,3344,500
548,368,3154,200
549,546,1344,200
550,214,1043,500
551,147,3693,200
552,887,2339,200
553,231,2780,200
554,776,3429,200
555,287,2336,200
556,828,1612,200
557,612,4227,500
558,238,4336,200
559,898,4725,200
560,69,1134,500
561,114,3727,200
562,858,1339,200
563,334,1307,200
564,609,3839,200
565,517,1510,200
566,457,2214,200
567,315,2182,200
568,840,2858,200
569,99,1111,200
570,759,3392,200
571,493,1039,200
572,811,4257,200
573,713,4208,200
574,342,3550,200
575,505,2528,200
576,882,3996,500
577,211,2309,200
578,542,2709,200
579,854,4317,200
580,68,3035,500
581,314,4961,200
582,122,4035,500
583,669,1911,500
584,330,2861,200
585,834,3232,200
586,688,2164,200
587,176,1910,200
588,895,1950,200
589,637,1246,200
590,536,3969,500
591,858,3150,200
592,778,3834,200
593,372,4935,200
594,657,1943,200
595,932,1181,500
596,759,3889,200
597,51,1475,200
598,939,4609,500
599,519,1171,200
600,752,1493,200
601,264,2642,200
602,235,2588,200
603,207,3843,200
604,300,2302,200
605,310,2315,200
606,818,1906,500
607,823,1483,500
608,190,1602,200
609,400,4498,200
610,100,2404,200
611,737,3327,200
612,941,2897,500
613,622,4122,200
614,708,4394,200
615,538,4607,500
616,101,2556,200
617,646,2618,500
618,706,1294,200
619,987,4444,200
620,461,1134,200
621,476,3521,500
622,648,2135,200
623,523,4343,200
624,928,3232,500
625,162,1276,200
626,374,2711,200
627,347,2730,200
628,474,1993,500
629,510,2281,200
630,940,4656,200
631,98,2379,200
632,424,3709,200
633,55,1547,200
634,341,2701,200
635,453,4404,200
636,744,2410,200
637,517,2492,200
638,819,3226,500
639,737,3176,200
640,500,2682,200
641,837,1274,200
642,697,4984,200
643,846,1728,200
644,280,2115,500
645,446,3704,200
646,659,1074,200
647,979,1060,200
648,118,1639,500
649,262,3916,200
650,760,2223,200
651,146,3504,500
652,365,4248,200
653,603,2056,200
654,97,3779,200
655,969,3998,500
656,108,2704,500
657,257,4929,200
658,700,3743,200
659,507,3576,200
660,196,3979,200
661,770,1864,500
662,549,4012,200
663,542,4709,200
664,816,1230,500
665,954,1876,500
666,535,4245,200
667,746,1246,200
668,972,4995,200
669,976,1165,200
670,374,2127,200
671,516,3413,500
672,593,3675,200
673,439,1861,200
674,520,4101,200
675,243,2665,500
676,678,4675,200
677,507,4077,200
678,153,1730,200
679,395,4050,500
680,148,3395,200
681,722,1152,200
682,760,1646,200
683,900,3440,200
684,585,2650,200
685,202,1521,200
686,768,2175,200
687,59,1368,200
688,886,3772,200
689,586,4640,200
690,445,1413,200
691,663,2448,200
692,291,3975,200
693,838,1184,500
694,414,3331,500
695,449,2421,500
696,396,3922,200
697,766,1076,200
698,389,3173,500
699,380,4031,200
700,122,1241,500
701,246,2773,200
702,970,4955,500
703,569,1986,200
704,141,4819,200
705,680,1493,500
706,668,3407,200
707,388,4173,200
708,247,2317,200
709,811,3747,500
710,106,3262,200
711,731,1110,500
712,557,2471,200
713,601,1624,200
714,500,1962,200
715,925,2410,500
716,269,1795,200
717,947,4320,200
718,140,4249,200
719,717,4320,200
720,115,2072,500
721,202,2295,200
722,190,2949,200
723,207,3265,500
724,476,4248,200
725,821,1382,200
726,522,4898,500
727,442,3548,200
728,378,4970,200
729,525,3777,200
730,616,2613,200
731,407,2998,200
732,232,1193,200
733,428,1968,500
734,496,2065,500
735,334,1229,200
736,711,4074,200
737,552,4066,200
738,636,2242,200
739,722,4375,500
740,843,3084,200
741,248,4580,500
742,357,2231,200
743,294,4794,200
744,911,3998,500
745,319,2063,200
746,247,4671,200
747,255,4456,200
748,854,4253,500
749,979,2818,200
750,302,2514,500
751,345,2303,200
752,540,3348,200
753,655,2114,500
754,268,3198,200
755,523,1138,200
756,719,2182,500
757,255,4730,200
758,61,1159,500
759,309,2531,200
760,71,2016,500
761,652,3410,200
762,234,2946,500
763,526,3415,500
764,796,2722,200
765,849,1666,200
766,115,3957,200
767,834,4370,200
768,615,1351,200
769,440,4553,500
770,538,2402,200
771,645,1109,200
772,216,2324,500
773,279,1528,200
774,925,3543,200
775,685,4913,200
776,784,1332,200
777,746,1728,200
778,250,4531,200
779,570,1253,200
780,258,2232,500
781,789,4597,200
782,199,4581,200
783,925,2594,200
784,233,4130,200
785,416,4359,200
786,500,3459,200
787,455,3597,200
788,932,2044,200
789,939,4732,500
790,261,1862,200
791,883,3613,500
792,908,4024,500
793,503,2516,500
794,882,3171,200
795,579,3675,500
796,809,4010,200
797,474,1062,500
798,313,1165,200
799,789,4071,200
800,87,1936,200
801,116,1641,500
802,703,2485,200
803,286,1401,200
804,958,4094,500
805,557,4523,200
806,349,2508,200
807,481,2224,500
808,823,3571,200
809,439,4447,200
